" 3D Run ID","Phase_Z","1D Results\Mode Frequencies\Mode 1","1D Results\Mode Frequencies\Mode 2","1D Results\Mode Frequencies\Mode 3","1D Results\Mode Frequencies\Mode 4"
"1","178","191.207","193.799","194.083","194.317"
"2","178.045","191.232","193.827","194.103","194.301"
"3","178.091","191.256","193.856","194.118","194.29"
"4","178.136","191.28","193.884","194.127","194.285"
"5","178.182","191.303","193.912","194.128","194.29"
"6","178.227","191.327","193.941","194.12","194.302"
"7","178.273","191.351","193.969","194.108","194.319"
"8","178.318","191.374","193.997","194.092","194.341"
"9","178.364","191.397","194.025","194.075","194.364"
"10","178.409","191.419","194.045","194.065","194.389"
"11","178.455","191.442","194.032","194.086","194.415"
"12","178.5","191.464","194.013","194.113","194.442"
"13","175","189.419","191.919","192.236","196.07"
"14","175.079","189.468","191.969","192.286","196.021"
"15","175.159","189.517","192.018","192.335","195.971"
"16","175.238","189.567","192.068","192.385","195.922"
"17","175.317","189.616","192.118","192.434","195.873"
"18","175.397","189.665","192.167","192.484","195.824"
"19","175.476","189.714","192.217","192.533","195.776"
"20","175.556","189.763","192.267","192.583","195.727"
"21","175.635","189.812","192.317","192.632","195.678"
"22","175.714","189.861","192.366","192.682","195.629"
"23","175.794","189.916","192.417","192.733","195.587"
"24","175.873","189.959","192.466","192.781","195.532"
"25","175.952","190.008","192.515","192.83","195.484"
"26","176.032","190.056","192.565","192.88","195.436"
"27","176.111","190.105","192.615","192.93","195.387"
"28","176.19","190.153","192.665","192.979","195.339"
"29","176.27","190.201","192.714","193.029","195.291"
"30","176.349","190.25","192.764","193.078","195.244"
"31","176.429","190.298","192.814","193.128","195.196"
"32","176.508","190.346","192.863","193.177","195.148"
"33","176.587","190.399","192.915","193.228","195.107"
"34","176.667","190.441","192.963","193.276","195.053"
"35","176.746","190.488","193.013","193.325","195.006"
"36","176.825","190.536","193.062","193.375","194.959"
"37","176.905","190.583","193.112","193.424","194.913"
"38","176.984","190.63","193.162","193.474","194.866"
"39","177.063","190.677","193.212","193.523","194.82"
"40","177.143","190.723","193.261","193.572","194.774"
"41","177.222","190.769","193.311","193.621","194.728"
"42","177.302","190.821","193.362","193.672","194.689"
"43","177.381","190.861","193.411","193.719","194.638"
"44","177.46","190.907","193.46","193.768","194.593"
"45","177.54","190.952","193.51","193.817","194.549"
"46","177.619","191.001","193.561","193.866","194.51"
"47","177.698","191.042","193.61","193.913","194.463"
"48","177.778","191.086","193.659","193.961","194.421"
"49","177.857","191.13","193.709","194.007","194.381"
"50","177.937","191.173","193.759","194.051","194.343"
"51","178.016","191.221","193.81","194.092","194.317"
"52","178.095","191.258","193.858","194.119","194.289"
"53","178.175","191.3","193.908","194.128","194.288"
"54","178.254","191.341","193.957","194.114","194.312"
"55","178.333","191.381","194.007","194.087","194.348"
"56","178.413","191.421","194.045","194.065","194.391"
"57","178.492","191.46","194.016","194.108","194.437"
"58","178.571","191.498","193.982","194.158","194.484"
"59","178.651","191.541","193.954","194.209","194.533"
"60","178.73","191.571","193.912","194.257","194.58"
"61","178.81","191.606","193.878","194.307","194.629"
"62","178.889","191.64","193.846","194.356","194.677"
"63","178.968","191.677","193.821","194.408","194.728"
"64","179.048","191.703","193.784","194.456","194.776"
"65","179.127","191.732","193.755","194.506","194.825"
"66","179.206","191.759","193.728","194.556","194.874"
"67","179.286","191.784","193.703","194.605","194.923"
"68","179.365","191.808","193.68","194.655","194.973"
"69","179.444","191.829","193.659","194.705","195.022"
"70","179.524","191.848","193.641","194.755","195.072"
"71","179.603","191.864","193.625","194.805","195.121"
"72","179.683","191.883","193.619","194.856","195.172"
"73","179.762","191.888","193.601","194.904","195.203"
"74","179.841","191.896","193.594","194.954","195.153"
"75","179.921","191.9","193.589","195.004","195.103"
"76","180","191.902","193.588","195.053","195.054"
"77","177.5","190.93","193.485","193.793","194.571"
"78","177.581","190.975","193.536","193.842","194.526"
"79","177.661","191.021","193.586","193.891","194.483"
"80","177.742","191.066","193.637","193.939","194.44"
"81","177.823","191.111","193.687","193.987","194.398"
"82","177.903","191.16","193.739","194.034","194.365"
"83","177.984","191.198","193.788","194.075","194.323"
"84","178.065","191.242","193.839","194.11","194.295"
"85","178.145","191.284","193.889","194.128","194.286"
"86","178.226","191.326","193.94","194.121","194.301"
"87","178.306","191.368","193.99","194.097","194.335"
"88","178.387","191.408","194.038","194.067","194.377"
"89","178.468","191.448","194.027","194.094","194.423"
"90","178.548","191.487","193.992","194.143","194.47"
"91","178.629","191.525","193.956","194.194","194.519"
"92","178.71","191.562","193.921","194.244","194.567"
"93","178.79","191.598","193.886","194.295","194.617"
"94","178.871","191.632","193.853","194.345","194.666"
"95","178.952","191.666","193.821","194.396","194.716"
"96","179.032","191.697","193.79","194.446","194.766"
"97","179.113","191.727","193.76","194.497","194.816"
"98","179.194","191.761","193.74","194.549","194.868"
"99","179.274","191.78","193.707","194.598","194.916"
"100","179.355","191.805","193.683","194.649","194.966"
"101","179.435","191.832","193.669","194.701","195.018"
"102","179.516","191.846","193.643","194.75","195.067"
"103","179.597","191.862","193.626","194.801","195.117"
"104","179.677","191.877","193.613","194.851","195.167"
"105","179.758","191.887","193.602","194.902","195.205"
"106","179.839","191.895","193.594","194.952","195.155"
"107","179.919","191.9","193.589","195.003","195.104"
"108","177.75","191.07","193.642","193.944","194.435"
"109","177.773","191.083","193.656","193.958","194.423"
"110","177.797","191.1","193.672","193.973","194.416"
"111","177.82","191.109","193.686","193.985","194.399"
"112","177.843","191.122","193.7","193.999","194.388"
"113","177.866","191.135","193.715","194.012","194.376"
"114","177.89","191.147","193.729","194.025","194.365"
"115","177.913","191.16","193.744","194.038","194.354"
"116","177.936","191.173","193.759","194.05","194.343"
"117","177.959","191.185","193.773","194.063","194.333"
"118","177.983","191.198","193.788","194.074","194.323"
"119","178.006","191.21","193.802","194.086","194.314"
"120","178.029","191.227","193.818","194.097","194.31"
"121","178.052","191.235","193.831","194.105","194.299"
"122","178.076","191.248","193.846","194.114","194.293"
"123","178.099","191.26","193.86","194.12","194.288"
"124","178.122","191.272","193.875","194.125","194.286"
"125","178.145","191.284","193.89","194.128","194.286"
"126","178.169","191.297","193.904","194.128","194.288"
"127","178.192","191.314","193.92","194.131","194.295"
"128","178.215","191.321","193.933","194.123","194.298"
"129","178.238","191.337","193.949","194.121","194.307"
"130","178.262","191.345","193.962","194.111","194.315"
"131","178.285","191.357","193.977","194.104","194.325"
"132","178.308","191.369","193.991","194.096","194.336"
"133","178.331","191.38","194.005","194.087","194.347"
"134","178.355","191.392","194.019","194.079","194.36"
"135","178.378","191.404","194.033","194.07","194.372"
"136","178.401","191.415","194.043","194.064","194.385"
"137","178.424","191.427","194.043","194.07","194.398"
"138","178.448","191.438","194.035","194.082","194.411"
"139","178.471","191.45","194.026","194.096","194.425"
"140","178.494","191.461","194.016","194.11","194.438"
"141","178.517","191.472","194.006","194.124","194.452"
"142","178.541","191.484","193.995","194.139","194.466"
"143","178.564","191.495","193.985","194.153","194.479"
"144","178.587","191.506","193.975","194.168","194.493"
"145","178.61","191.517","193.965","194.182","194.507"
"146","178.634","191.527","193.954","194.197","194.521"
"147","178.657","191.538","193.944","194.211","194.535"
"148","178.68","191.549","193.934","194.226","194.55"
"149","178.703","191.559","193.924","194.24","194.564"
"150","178.727","191.57","193.914","194.255","194.578"
"151","178.75","191.58","193.904","194.269","194.592"
"152","175.069","189.462","191.962","192.279","196.027"
"153","175.139","189.505","192.006","192.323","195.984"
"154","175.208","189.548","192.049","192.366","195.941"
"155","175.278","189.591","192.093","192.409","195.898"
"156","175.347","189.634","192.136","192.453","195.855"
"157","175.417","189.678","192.18","192.496","195.812"
"158","175.486","189.72","192.223","192.539","195.769"
"159","175.625","189.806","192.31","192.626","195.684"
"160","175.694","189.849","192.354","192.669","195.642"
"161","175.764","189.892","192.397","192.713","195.599"
"162","175.833","189.935","192.441","192.756","195.557"
"163","175.903","189.977","192.484","192.8","195.514"
"164","175.972","190.02","192.528","192.843","195.472"
"165","176.042","190.062","192.571","192.886","195.43"
"166","176.181","190.147","192.658","192.973","195.345"
"167","176.25","190.189","192.702","193.016","195.303"
"168","176.319","190.232","192.745","193.06","195.261"
"169","176.389","190.274","192.789","193.103","195.22"
"170","176.458","190.316","192.832","193.146","195.178"
"171","176.528","190.357","192.876","193.189","195.136"
"172","176.597","190.399","192.919","193.233","195.095"
"173","176.736","190.483","193.006","193.319","195.012"
"174","176.806","190.524","193.049","193.362","194.971"
"175","176.875","190.565","193.093","193.406","194.93"
"176","176.944","190.606","193.137","193.449","194.889"
"177","177.014","190.647","193.181","193.492","194.849"
"178","177.083","190.688","193.224","193.535","194.808"
"179","177.153","190.729","193.268","193.578","194.768"
"180","177.292","190.809","193.355","193.664","194.688"
"181","177.361","190.85","193.398","193.707","194.649"
"182","177.431","190.89","193.442","193.75","194.61"
"183","177.569","190.969","193.529","193.835","194.532"
"184","177.639","191.008","193.572","193.877","194.495"
"185","177.708","191.047","193.616","193.919","194.457"
"186","177.847","191.124","193.703","194.001","194.386"
"187","177.917","191.162","193.746","194.04","194.352"
"188","177.986","191.2","193.79","194.076","194.322"
"189","178.056","191.237","193.833","194.107","194.298"
"190","178.125","191.277","193.878","194.128","194.289"
"191","178.194","191.31","193.92","194.126","194.292"
"192","178.264","191.346","193.964","194.111","194.316"
"193","178.403","191.416","194.044","194.064","194.386"
"194","178.472","191.45","194.025","194.096","194.425"
"195","178.542","191.484","193.995","194.139","194.466"
"196","178.611","191.517","193.964","194.183","194.508"
"197","178.681","191.549","193.934","194.226","194.55"
"198","178.819","191.611","193.874","194.313","194.635"
"199","178.958","191.668","193.818","194.4","194.72"
"200","179.028","191.695","193.791","194.444","194.763"
"201","179.097","191.721","193.766","194.487","194.806"
"202","179.167","191.746","193.742","194.531","194.849"
"203","179.236","191.769","193.719","194.574","194.893"
"204","179.306","191.791","193.697","194.618","194.936"
"205","179.375","191.811","193.678","194.661","194.979"
"206","179.514","191.846","193.643","194.749","195.065"
"207","179.583","191.866","193.636","194.793","195.11"
"208","179.653","191.872","193.616","194.835","195.152"
"209","179.722","191.883","193.606","194.879","195.195"
"210","179.792","191.891","193.598","194.923","195.184"
"211","179.861","191.897","193.592","194.966","195.141"
"212","179.931","191.901","193.589","195.01","195.097"
"213","178.005","191.209","193.802","194.085","194.315"
"214","178.01","191.213","193.805","194.088","194.313"
"215","178.015","191.219","193.809","194.091","194.315"
"216","178.02","191.218","193.811","194.092","194.309"
"217","178.025","191.221","193.814","194.094","194.307"
"218","178.03","191.223","193.817","194.096","194.306"
"219","178.035","191.226","193.82","194.099","194.304"
"220","178.04","191.229","193.823","194.101","194.302"
"221","178.045","191.231","193.827","194.103","194.301"
"222","178.05","191.234","193.83","194.105","194.299"
"223","178.055","191.237","193.833","194.106","194.298"
"224","178.06","191.239","193.836","194.108","194.297"
"225","178.065","191.242","193.839","194.11","194.295"
"226","178.07","191.245","193.842","194.112","194.294"
"227","178.075","191.247","193.845","194.113","194.293"
"228","178.08","191.25","193.849","194.115","194.292"
"229","178.085","191.253","193.852","194.117","194.291"
"230","178.09","191.255","193.855","194.118","194.29"
"231","178.095","191.258","193.858","194.119","194.289"
"232","178.1","191.264","193.862","194.123","194.292"
"233","178.105","191.263","193.864","194.122","194.288"
"234","178.11","191.266","193.867","194.123","194.287"
"235","178.115","191.269","193.87","194.124","194.286"
"236","178.12","191.271","193.874","194.125","194.286"
"237","178.13","191.276","193.88","194.126","194.286"
"238","178.135","191.279","193.883","194.127","194.285"
"239","178.14","191.282","193.886","194.127","194.285"
"240","178.145","191.284","193.889","194.128","194.286"
"241","178.15","191.287","193.892","194.128","194.286"
"242","178.155","191.29","193.896","194.128","194.286"
"243","178.16","191.296","193.9","194.131","194.289"
"244","178.165","191.295","193.902","194.128","194.287"
"245","178.17","191.297","193.905","194.128","194.288"
"246","178.175","191.3","193.908","194.128","194.288"
"247","178.18","191.303","193.911","194.128","194.289"
"248","178.185","191.305","193.914","194.127","194.29"
"249","178.19","191.308","193.917","194.127","194.291"
"250","178.195","191.31","193.921","194.126","194.292"
"251","178.2","191.313","193.924","194.125","194.294"
"252","178.205","191.316","193.927","194.125","194.295"
"253","178.21","191.318","193.93","194.124","194.296"
"254","178.215","191.321","193.933","194.123","194.298"
"255","178.22","191.323","193.936","194.122","194.299"
"256","178.225","191.326","193.939","194.121","194.301"
"257","178.23","191.329","193.942","194.12","194.303"
"258","178.235","191.331","193.946","194.119","194.304"
"259","178.24","191.334","193.949","194.117","194.306"
"260","178.245","191.336","193.952","194.116","194.308"
"261","178.25","191.339","193.955","194.115","194.31"
"262","178.255","191.341","193.958","194.113","194.312"
"263","178.26","191.344","193.961","194.112","194.314"
"264","178.265","191.347","193.964","194.11","194.316"
"265","178.27","191.349","193.967","194.109","194.318"
"266","178.275","191.352","193.971","194.107","194.32"
"267","178.28","191.36","193.975","194.112","194.325"
"268","178.285","191.357","193.977","194.104","194.325"
"269","178.29","191.359","193.98","194.102","194.327"
"270","178.295","191.362","193.983","194.101","194.33"
"271","178.3","191.365","193.986","194.099","194.332"
"272","178.305","191.367","193.989","194.097","194.334"
"273","178.31","191.37","193.992","194.095","194.337"
"274","178.315","191.372","193.995","194.093","194.339"
"275","178.32","191.375","193.998","194.092","194.342"
"276","178.325","191.377","194.001","194.09","194.344"
"277","178.33","191.38","194.005","194.088","194.347"
"278","178.335","191.382","194.008","194.086","194.349"
"279","178.34","191.385","194.011","194.084","194.352"
"280","178.345","191.387","194.014","194.082","194.355"
"281","178.35","191.39","194.017","194.08","194.357"
"282","178.355","191.392","194.02","194.078","194.36"
"283","178.36","191.395","194.023","194.077","194.362"
"284","178.365","191.397","194.026","194.075","194.365"
"285","178.37","191.4","194.028","194.073","194.368"
"286","178.375","191.402","194.031","194.071","194.37"
"287","178.38","191.405","194.034","194.07","194.373"
"288","178.385","191.407","194.037","194.068","194.376"
"289","178.39","191.41","194.039","194.067","194.379"
"290","178.395","191.412","194.041","194.065","194.381"
"291","178.4","191.415","194.043","194.064","194.384"
"292","178.405","191.417","194.044","194.064","194.387"
"293","178.41","191.425","194.049","194.069","194.392"
"294","178.415","191.422","194.044","194.066","194.393"
"295","178.42","191.425","194.044","194.068","194.395"
"296","178.425","191.427","194.043","194.07","194.398"
"297","178.43","191.43","194.041","194.072","194.401"
"298","178.435","191.432","194.04","194.075","194.404"
"299","178.44","191.435","194.038","194.078","194.407"
"300","178.445","191.437","194.036","194.08","194.41"
"301","178.45","191.439","194.034","194.083","194.413"
"302","178.455","191.442","194.032","194.086","194.415"
"303","178.46","191.444","194.03","194.089","194.418"
"304","178.465","191.447","194.028","194.092","194.421"
"305","178.47","191.449","194.026","194.095","194.424"
"306","178.475","191.452","194.024","194.098","194.427"
"307","178.48","191.454","194.022","194.101","194.43"
"308","178.485","191.457","194.02","194.104","194.433"
"309","178.49","191.459","194.017","194.107","194.436"
"310","178.495","191.467","194.022","194.112","194.44"
"311","178.005","191.21","193.801","194.085","194.315"
"312","178.009","191.212","193.804","194.087","194.313"
"313","178.014","191.214","193.807","194.089","194.311"
"314","178.018","191.217","193.81","194.091","194.31"
"315","178.023","191.219","193.813","194.093","194.308"
"316","178.027","191.226","193.816","194.097","194.311"
"317","178.032","191.224","193.819","194.097","194.305"
"318","178.036","191.227","193.821","194.099","194.304"
"319","178.041","191.229","193.824","194.101","194.302"
"320","178.055","191.236","193.833","194.106","194.298"
"321","178.059","191.239","193.836","194.108","194.297"
"322","178.064","191.241","193.838","194.11","194.296"
"323","178.068","191.244","193.841","194.111","194.295"
"324","178.073","191.246","193.844","194.113","194.293"
"325","178.077","191.249","193.847","194.114","194.292"
"326","178.082","191.251","193.85","194.116","194.291"
"327","178.086","191.257","193.853","194.119","194.294"
"328","178.095","191.258","193.858","194.119","194.289"
"329","178.105","191.263","193.864","194.122","194.288"
"330","178.109","191.265","193.867","194.123","194.287"
"331","178.114","191.268","193.87","194.124","194.287"
"332","178.118","191.27","193.873","194.124","194.286"
"333","178.123","191.278","193.877","194.129","194.291"
"334","178.127","191.275","193.878","194.126","194.286"
"335","178.132","191.277","193.881","194.126","194.285"
"336","178.141","191.282","193.887","194.127","194.285"
"337","178.145","191.285","193.89","194.128","194.286"
"338","178.155","191.289","193.895","194.128","194.286"
"339","178.159","191.295","193.899","194.131","194.289"
"340","178.164","191.294","193.901","194.128","194.287"
"341","178.168","191.3","193.905","194.131","194.29"
