" 3D Run ID","Phase_Z","1D Results\Mode Frequencies\Mode 1","1D Results\Mode Frequencies\Mode 2","1D Results\Mode Frequencies\Mode 3","1D Results\Mode Frequencies\Mode 4"
"1","178","191.068","193.763","194.097","194.31"
"2","178.045","191.093","193.787","194.12","194.296"
"3","178.091","191.117","193.811","194.139","194.286"
"4","178.136","191.14","193.834","194.154","194.282"
"5","178.182","191.163","193.856","194.162","194.286"
"6","178.227","191.186","193.875","194.165","194.298"
"7","178.273","191.209","193.892","194.164","194.317"
"8","178.318","191.231","193.905","194.163","194.339"
"9","178.364","191.253","193.915","194.164","194.363"
"10","178.409","191.275","193.92","194.168","194.388"
"11","178.455","191.296","193.92","194.177","194.415"
"12","178.5","191.318","193.916","194.19","194.442"
"13","175","189.299","191.914","192.242","196.024"
"14","175.079","189.348","191.964","192.291","195.975"
"15","175.159","189.397","192.013","192.341","195.926"
"16","175.238","189.446","192.063","192.39","195.877"
"17","175.317","189.496","192.113","192.44","195.829"
"18","175.397","189.545","192.162","192.489","195.78"
"19","175.476","189.594","192.212","192.539","195.732"
"20","175.556","189.641","192.261","192.588","195.683"
"21","175.635","189.69","192.311","192.637","195.635"
"22","175.714","189.74","192.36","192.687","195.587"
"23","175.794","189.789","192.41","192.737","195.539"
"24","175.873","189.837","192.459","192.786","195.491"
"25","175.952","189.886","192.509","192.836","195.443"
"26","176.032","189.934","192.558","192.885","195.395"
"27","176.111","189.982","192.608","192.935","195.347"
"28","176.19","190.03","192.657","192.984","195.3"
"29","176.27","190.078","192.707","193.034","195.252"
"30","176.349","190.126","192.756","193.083","195.205"
"31","176.429","190.174","192.805","193.133","195.158"
"32","176.508","190.221","192.855","193.182","195.111"
"33","176.587","190.269","192.904","193.232","195.064"
"34","176.667","190.316","192.954","193.281","195.018"
"35","176.746","190.363","193.003","193.331","194.972"
"36","176.825","190.41","193.052","193.38","194.926"
"37","176.905","190.456","193.101","193.43","194.88"
"38","176.984","190.503","193.151","193.479","194.834"
"39","177.063","190.549","193.2","193.528","194.789"
"40","177.143","190.595","193.249","193.578","194.744"
"41","177.222","190.64","193.298","193.627","194.7"
"42","177.302","190.686","193.346","193.676","194.656"
"43","177.381","190.73","193.395","193.726","194.612"
"44","177.46","190.776","193.444","193.775","194.569"
"45","177.54","190.82","193.492","193.824","194.527"
"46","177.619","190.864","193.54","193.872","194.486"
"47","177.698","190.908","193.588","193.921","194.445"
"48","177.778","190.951","193.635","193.969","194.406"
"49","177.857","190.994","193.682","194.016","194.369"
"50","177.937","191.036","193.727","194.062","194.335"
"51","178.016","191.078","193.771","194.105","194.305"
"52","178.095","191.119","193.814","194.141","194.285"
"53","178.175","191.16","193.852","194.161","194.285"
"54","178.254","191.199","193.885","194.164","194.309"
"55","178.333","191.239","193.909","194.163","194.347"
"56","178.413","191.277","193.92","194.169","194.391"
"57","178.492","191.314","193.917","194.187","194.437"
"58","178.571","191.351","193.903","194.216","194.484"
"59","178.651","191.386","193.882","194.253","194.533"
"60","178.73","191.421","193.858","194.293","194.581"
"61","178.81","191.454","193.832","194.337","194.63"
"62","178.889","191.486","193.805","194.382","194.679"
"63","178.968","191.517","193.779","194.428","194.728"
"64","179.048","191.545","193.753","194.475","194.777"
"65","179.127","191.573","193.728","194.522","194.827"
"66","179.206","191.599","193.704","194.57","194.876"
"67","179.286","191.622","193.682","194.618","194.925"
"68","179.365","191.644","193.661","194.666","194.975"
"69","179.444","191.663","193.643","194.715","195.024"
"70","179.524","191.681","193.627","194.763","195.073"
"71","179.603","191.696","193.612","194.812","195.122"
"72","179.683","191.708","193.601","194.86","195.17"
"73","179.762","191.717","193.591","194.908","195.201"
"74","179.841","191.724","193.585","194.955","195.164"
"75","179.921","191.734","193.588","195","195.123"
"76","180","191.73","193.579","195.023","195.098"
"77","177.5","190.798","193.468","193.799","194.548"
"78","177.581","190.843","193.517","193.849","194.506"
"79","177.661","190.887","193.565","193.898","194.464"
"80","177.742","190.932","193.614","193.947","194.424"
"81","177.823","190.975","193.661","193.996","194.385"
"82","177.903","191.024","193.71","194.045","194.355"
"83","177.984","191.067","193.756","194.09","194.322"
"84","178.065","191.103","193.798","194.128","194.291"
"85","178.145","191.144","193.838","194.156","194.282"
"86","178.226","191.185","193.874","194.165","194.298"
"87","178.306","191.225","193.902","194.163","194.333"
"88","178.387","191.264","193.918","194.166","194.376"
"89","178.468","191.303","193.919","194.18","194.423"
"90","178.548","191.34","193.908","194.207","194.47"
"91","178.629","191.377","193.888","194.242","194.519"
"92","178.71","191.412","193.864","194.283","194.569"
"93","178.79","191.446","193.838","194.326","194.618"
"94","178.871","191.479","193.811","194.371","194.668"
"95","178.952","191.51","193.784","194.418","194.718"
"96","179.032","191.54","193.758","194.466","194.768"
"97","179.113","191.568","193.732","194.514","194.818"
"98","179.194","191.595","193.708","194.562","194.868"
"99","179.274","191.619","193.685","194.611","194.918"
"100","179.355","191.641","193.664","194.66","194.968"
"101","179.435","191.661","193.645","194.709","195.018"
"102","179.516","191.679","193.628","194.759","195.068"
"103","179.597","191.694","193.613","194.808","195.118"
"104","179.677","191.707","193.601","194.857","195.167"
"105","179.758","191.717","193.591","194.906","195.201"
"106","179.839","191.724","193.585","194.953","195.166"
"107","179.919","191.728","193.581","194.998","195.122"
"108","177.75","190.936","193.619","193.952","194.42"
"109","177.773","190.949","193.632","193.966","194.408"
"110","177.797","190.961","193.646","193.98","194.397"
"111","177.82","190.974","193.66","193.994","194.386"
"112","177.843","190.986","193.673","194.008","194.375"
"113","177.866","190.999","193.687","194.021","194.365"
"114","177.89","191.011","193.7","194.035","194.354"
"115","177.913","191.024","193.714","194.048","194.344"
"116","177.936","191.035","193.727","194.062","194.335"
"117","177.959","191.048","193.74","194.075","194.325"
"118","177.983","191.06","193.753","194.087","194.317"
"119","178.006","191.072","193.766","194.1","194.308"
"120","178.029","191.085","193.778","194.112","194.301"
"121","178.052","191.097","193.791","194.123","194.294"
"122","178.076","191.109","193.803","194.133","194.289"
"123","178.099","191.121","193.816","194.142","194.285"
"124","178.122","191.133","193.827","194.15","194.282"
"125","178.145","191.145","193.839","194.156","194.282"
"126","178.169","191.157","193.85","194.161","194.284"
"127","178.192","191.168","193.86","194.163","194.288"
"128","178.215","191.18","193.87","194.164","194.294"
"129","178.238","191.192","193.879","194.165","194.302"
"130","178.262","191.203","193.888","194.164","194.312"
"131","178.285","191.215","193.896","194.163","194.322"
"132","178.308","191.226","193.903","194.163","194.334"
"133","178.331","191.238","193.909","194.163","194.346"
"134","178.355","191.249","193.913","194.163","194.358"
"135","178.378","191.26","193.917","194.165","194.371"
"136","178.401","191.271","193.919","194.167","194.384"
"137","178.424","191.282","193.92","194.171","194.397"
"138","178.448","191.293","193.92","194.176","194.411"
"139","178.471","191.304","193.919","194.181","194.424"
"140","178.494","191.315","193.917","194.188","194.438"
"141","178.517","191.326","193.913","194.196","194.452"
"142","178.541","191.337","193.909","194.204","194.466"
"143","178.564","191.348","193.905","194.213","194.48"
"144","178.587","191.358","193.899","194.223","194.494"
"145","178.61","191.369","193.893","194.234","194.508"
"146","178.634","191.379","193.887","194.244","194.522"
"147","178.657","191.389","193.881","194.256","194.536"
"148","178.68","191.399","193.874","194.267","194.551"
"149","178.703","191.409","193.866","194.279","194.565"
"150","178.727","191.419","193.859","194.292","194.579"
"151","178.75","191.429","193.852","194.304","194.593"
"152","175.069","189.342","191.958","192.285","195.981"
"153","175.139","189.385","192.001","192.328","195.938"
"154","175.208","189.428","192.044","192.372","195.896"
"155","175.278","189.471","192.088","192.415","195.853"
"156","175.347","189.514","192.131","192.458","195.811"
"157","175.417","189.557","192.174","192.502","195.768"
"158","175.486","189.6","192.218","192.545","195.726"
"159","175.625","189.685","192.304","192.631","195.641"
"160","175.694","189.728","192.348","192.675","195.599"
"161","175.764","189.77","192.391","192.718","195.557"
"162","175.833","189.813","192.435","192.762","195.515"
"163","175.903","189.855","192.478","192.805","195.472"
"164","175.972","189.898","192.521","192.848","195.431"
"165","176.042","189.94","192.564","192.891","195.389"
"166","176.181","190.024","192.651","192.978","195.306"
"167","176.25","190.066","192.694","193.022","195.264"
"168","176.319","190.108","192.738","193.065","195.223"
"169","176.389","190.15","192.781","193.108","195.181"
"170","176.458","190.192","192.824","193.151","195.14"
"171","176.528","190.233","192.867","193.195","195.099"
"172","176.597","190.275","192.91","193.238","195.059"
"173","176.736","190.356","192.997","193.325","194.977"
"174","176.806","190.397","193.04","193.368","194.937"
"175","176.875","190.438","193.083","193.411","194.897"
"176","176.944","190.479","193.126","193.454","194.857"
"177","177.014","190.52","193.169","193.498","194.817"
"178","177.083","190.56","193.212","193.541","194.778"
"179","177.153","190.6","193.255","193.584","194.739"
"180","177.292","190.68","193.34","193.67","194.661"
"181","177.361","190.72","193.383","193.713","194.623"
"182","177.431","190.759","193.425","193.756","194.585"
"183","177.569","190.837","193.51","193.842","194.511"
"184","177.639","190.875","193.552","193.884","194.475"
"185","177.708","190.913","193.594","193.927","194.44"
"186","177.847","190.989","193.676","194.01","194.373"
"187","177.917","191.032","193.718","194.052","194.349"
"188","177.986","191.068","193.757","194.091","194.321"
"189","178.056","191.105","193.795","194.126","194.299"
"190","178.125","191.134","193.829","194.151","194.282"
"191","178.194","191.17","193.861","194.163","194.289"
"192","178.264","191.204","193.889","194.164","194.313"
"193","178.403","191.272","193.919","194.167","194.385"
"194","178.472","191.305","193.919","194.182","194.425"
"195","178.542","191.337","193.909","194.205","194.466"
"196","178.611","191.369","193.893","194.234","194.508"
"197","178.681","191.399","193.873","194.268","194.551"
"198","178.819","191.458","193.829","194.342","194.636"
"199","178.958","191.513","193.782","194.422","194.722"
"200","179.028","191.538","193.759","194.463","194.765"
"201","179.097","191.569","193.744","194.506","194.81"
"202","179.167","191.586","193.716","194.546","194.851"
"203","179.236","191.608","193.695","194.588","194.894"
"204","179.306","191.628","193.677","194.63","194.938"
"205","179.375","191.647","193.659","194.672","194.981"
"206","179.514","191.679","193.628","194.757","195.067"
"207","179.583","191.692","193.616","194.8","195.11"
"208","179.653","191.71","193.612","194.843","195.154"
"209","179.722","191.713","193.596","194.884","195.192"
"210","179.792","191.72","193.589","194.926","195.191"
"211","179.861","191.726","193.583","194.966","195.153"
"212","179.931","191.729","193.58","195.003","195.117"
"213","177.515","190.806","193.477","193.808","194.54"
"214","177.53","190.815","193.486","193.818","194.532"
"215","177.545","190.823","193.495","193.827","194.524"
"216","177.56","190.831","193.504","193.836","194.516"
"217","177.575","190.84","193.513","193.845","194.509"
"218","177.59","190.848","193.523","193.854","194.501"
"219","177.605","190.856","193.531","193.864","194.493"
"220","177.62","190.865","193.541","193.873","194.485"
"221","177.635","190.873","193.55","193.882","194.477"
"222","177.65","190.881","193.559","193.891","194.47"
"223","177.665","190.889","193.568","193.9","194.462"
"224","177.68","190.898","193.577","193.91","194.455"
"225","177.695","190.906","193.586","193.919","194.447"
"226","177.71","190.914","193.595","193.928","194.439"
"227","177.725","190.922","193.604","193.937","194.432"
"228","177.74","190.931","193.613","193.946","194.425"
"229","177.755","190.939","193.622","193.955","194.417"
"230","177.77","190.947","193.63","193.964","194.41"
"231","177.785","190.955","193.639","193.973","194.403"
"232","177.8","190.963","193.648","193.982","194.396"
"233","177.815","190.971","193.657","193.991","194.388"
"234","177.83","190.979","193.666","194","194.381"
"235","177.845","190.987","193.675","194.009","194.374"
"236","177.86","190.995","193.683","194.018","194.368"
"237","177.875","191.003","193.692","194.027","194.361"
"238","177.89","191.011","193.701","194.035","194.354"
"239","177.905","191.019","193.709","194.044","194.348"
"240","177.92","191.027","193.718","194.053","194.341"
"241","177.935","191.035","193.726","194.061","194.335"
"242","177.95","191.049","193.737","194.071","194.335"
"243","177.965","191.051","193.743","194.078","194.323"
"244","177.98","191.059","193.752","194.086","194.317"
