" 3D Run ID","Phase_Z","delta_top","1D Results\Mode Frequencies\Mode 3"
"1","150","0","190.07"
"2","150","17.9999","194.026"
"3","150.909","0","190.574"
"4","150.909","17.9999","194.469"
"5","151.818","0","191.058"
"6","151.818","17.9999","194.868"
"7","152.727","0","191.514"
"8","152.727","17.9999","195.205"
"9","153.636","0","191.93"
"10","153.636","17.9999","195.462"
"11","154.545","0","192.285"
"12","154.545","17.9999","195.627"
"13","155.455","0","192.553"
"14","155.455","17.9999","195.7"
"15","156.364","0","192.708"
"16","156.364","17.9999","195.71"
"17","157.273","0","192.74"
"18","157.273","17.9999","195.751"
"19","158.182","0","192.666"
"20","158.182","17.9999","196.011"
"21","159.091","0","192.531"
"22","159.091","17.9999","196.466"
"23","160","0","192.5"
"24","160","17.9999","196.985"
"25","145","0","187.108"
"26","145.317","0","187.303"
"27","145.635","0","187.497"
"28","145.952","0","187.69"
"29","146.27","0","187.882"
"30","146.587","0","188.074"
"31","146.905","0","188.265"
"32","147.222","0","188.455"
"33","147.54","0","188.644"
"34","147.857","0","188.832"
"35","148.175","0","189.019"
"36","148.492","0","189.205"
"37","148.81","0","189.389"
"38","149.127","0","189.573"
"39","149.444","0","189.755"
"40","149.762","0","189.936"
"41","150.079","0","190.115"
"42","150.397","0","190.292"
"43","150.714","0","190.468"
"44","151.032","0","190.641"
"45","151.349","0","190.811"
"46","151.667","0","190.979"
"47","151.984","0","191.144"
"48","152.302","0","191.305"
"49","152.619","0","191.462"
"50","152.937","0","191.614"
"51","153.254","0","191.761"
"52","153.571","0","191.902"
"53","153.889","0","192.036"
"54","154.206","0","192.161"
"55","154.524","0","192.277"
"56","154.841","0","192.383"
"57","155.159","0","192.477"
"58","155.476","0","192.558"
"59","155.794","0","192.625"
"60","156.111","0","192.677"
"61","156.429","0","192.715"
"62","156.746","0","192.736"
"63","157.063","0","192.743"
"64","157.381","0","192.736"
"65","157.698","0","192.717"
"66","158.016","0","192.686"
"67","158.333","0","192.645"
"68","158.651","0","192.599"
"69","158.968","0","192.549"
"70","159.286","0","192.504"
"71","159.603","0","192.476"
"72","159.921","0","192.488"
"73","160.238","0","192.56"
"74","160.556","0","192.684"
"75","160.873","0","192.838"
"76","161.19","0","193.007"
"77","161.508","0","193.184"
"78","161.825","0","193.365"
"79","162.143","0","193.548"
"80","162.46","0","193.733"
"81","162.778","0","193.918"
"82","163.095","0","194.103"
"83","163.413","0","194.289"
"84","163.73","0","194.474"
"85","164.048","0","194.659"
"86","164.365","0","194.844"
"87","164.683","0","195.028"
"88","165","0","195.212"
"89","145","17.9999","191.173"
