" 3D Run ID","Phase_Z","deltaParam","1D Results\Mode Frequencies\Mode 3"
"1","160","-10","197.305"
"2","160.323","-10","197.382"
"3","160.645","-10","197.451"
"4","160.968","-10","197.514"
"5","161.29","-10","197.569"
"6","161.613","-10","197.618"
"7","161.935","-10","197.661"
"8","162.258","-10","197.697"
"9","162.581","-10","197.728"
"10","162.903","-10","197.753"
"11","163.226","-10","197.774"
"12","163.548","-10","197.793"
"13","163.871","-10","197.809"
"14","164.194","-10","197.826"
"15","164.516","-10","197.845"
"16","164.839","-10","197.87"
"17","165.161","-10","197.905"
"18","165.484","-10","197.955"
"19","165.806","-10","198.022"
"20","166.129","-10","198.108"
"21","166.452","-10","198.213"
"22","166.774","-10","198.333"
"23","167.097","-10","198.465"
"24","167.419","-10","198.604"
"25","167.742","-10","198.749"
"26","168.065","-10","198.898"
"27","168.387","-10","199.048"
"28","168.71","-10","199.2"
"29","169.032","-10","199.352"
"30","169.355","-10","199.504"
"31","169.677","-10","199.655"
"32","170","-10","199.805"
"33","160","0","197.045"
"34","160.323","0","197.122"
"35","160.645","0","197.193"
"36","160.968","0","197.256"
"37","161.29","0","197.313"
"38","161.613","0","197.362"
"39","161.935","0","197.405"
"40","162.258","0","197.441"
"41","162.581","0","197.471"
"42","162.903","0","197.495"
"43","163.226","0","197.513"
"44","163.548","0","197.526"
"45","163.871","0","197.534"
"46","164.194","0","197.539"
"47","164.516","0","197.541"
"48","164.839","0","197.541"
"49","165.161","0","197.541"
"50","165.484","0","197.543"
"51","165.806","0","197.55"
"52","166.129","0","197.567"
"53","166.452","0","197.599"
"54","166.774","0","197.652"
"55","167.097","0","197.729"
"56","167.419","0","197.828"
"57","167.742","0","197.943"
"58","168.065","0","198.07"
"59","168.387","0","198.205"
"60","168.71","0","198.344"
"61","169.032","0","198.486"
"62","169.355","0","198.629"
"63","169.677","0","198.772"
"64","170","0","198.914"
"65","160","10","196.82"
"66","160.323","10","196.899"
"67","160.645","10","196.971"
"68","160.968","10","197.036"
"69","161.29","10","197.094"
"70","161.613","10","197.145"
"71","161.935","10","197.19"
"72","162.258","10","197.228"
"73","162.581","10","197.26"
"74","162.903","10","197.285"
"75","163.226","10","197.305"
"76","163.548","10","197.318"
"77","163.871","10","197.327"
"78","164.194","10","197.33"
"79","164.516","10","197.329"
"80","164.839","10","197.324"
"81","165.161","10","197.316"
"82","165.484","10","197.304"
"83","165.806","10","197.291"
"84","166.129","10","197.277"
"85","166.452","10","197.263"
"86","166.774","10","197.253"
"87","167.097","10","197.249"
"88","167.419","10","197.258"
"89","167.742","10","197.286"
"90","168.065","10","197.341"
"91","168.387","10","197.423"
"92","168.71","10","197.527"
"93","169.032","10","197.644"
"94","169.355","10","197.769"
"95","169.677","10","197.899"
"96","170","10","198.031"
"97","162.5","-10","197.72"
"98","162.645","-10","197.733"
"99","162.79","-10","197.745"
"100","162.935","-10","197.755"
"101","163.081","-10","197.765"
"102","163.371","-10","197.783"
