" 3D Run ID","Phase_Z","1D Results\Mode Frequencies\Mode 2","1D Results\Mode Frequencies\Mode 3"
"1","178","194.083","194.317"
"2","178.045","194.103","194.301"
"3","178.091","194.118","194.29"
"4","178.136","194.127","194.286"
"5","178.182","194.127","194.29"
"6","178.227","194.12","194.302"
"7","178.273","194.107","194.32"
"8","178.318","194.091","194.341"
"9","178.364","194.073","194.365"
"10","178.409","194.054","194.389"
"11","178.455","194.034","194.415"
"12","178.5","194.014","194.442"
"13","175","192.236","196.07"
"14","175.079","192.286","196.021"
"15","175.159","192.335","195.972"
"16","175.238","192.385","195.923"
"17","175.317","192.434","195.874"
"18","175.397","192.484","195.825"
"19","175.476","192.533","195.776"
"20","175.556","192.583","195.727"
"21","175.635","192.632","195.678"
"22","175.714","192.682","195.63"
"23","175.794","192.732","195.581"
"24","175.873","192.781","195.533"
"25","175.952","192.831","195.484"
"26","176.032","192.88","195.436"
"27","176.111","192.93","195.388"
"28","176.19","192.979","195.34"
"29","176.27","193.029","195.292"
"30","176.349","193.078","195.244"
"31","176.429","193.128","195.196"
"32","176.508","193.177","195.148"
"33","176.587","193.227","195.101"
"34","176.667","193.276","195.054"
"35","176.746","193.326","195.007"
"36","176.825","193.375","194.96"
"37","176.905","193.424","194.913"
"38","176.984","193.474","194.866"
"39","177.063","193.523","194.82"
"40","177.143","193.572","194.774"
"41","177.222","193.621","194.728"
"42","177.302","193.671","194.683"
"43","177.381","193.72","194.638"
"44","177.46","193.768","194.593"
"45","177.54","193.817","194.549"
"46","177.619","193.865","194.506"
"47","177.698","193.913","194.463"
"48","177.778","193.961","194.421"
"49","177.857","194.007","194.381"
"50","177.937","194.051","194.343"
"51","178.016","194.09","194.311"
"52","178.095","194.119","194.289"
"53","178.175","194.128","194.289"
"54","178.254","194.113","194.312"
"55","178.333","194.086","194.349"
"56","178.413","194.053","194.392"
"57","178.492","194.018","194.437"
"58","178.571","193.983","194.484"
"59","178.651","193.947","194.532"
"60","178.73","193.913","194.58"
"61","178.81","193.879","194.629"
"62","178.889","193.846","194.678"
"63","178.968","193.815","194.727"
"64","179.048","193.784","194.776"
"65","179.127","193.756","194.825"
"66","179.206","193.729","194.874"
"67","179.286","193.704","194.924"
"68","179.365","193.681","194.973"
"69","179.444","193.66","195.022"
"70","179.524","193.641","195.072"
"71","179.603","193.625","195.121"
"72","179.683","193.612","195.171"
"73","179.762","193.602","195.22"
"74","179.841","193.594","195.27"
"75","179.921","193.589","195.319"
"76","180","193.588","195.361"
"77","177.5","193.793","194.571"
"78","177.581","193.842","194.526"
"79","177.661","193.891","194.483"
"80","177.742","193.939","194.44"
"81","177.823","193.987","194.398"
"82","177.903","194.033","194.359"
"83","177.984","194.075","194.323"
"84","178.065","194.11","194.296"
"85","178.145","194.128","194.286"
"86","178.226","194.12","194.301"
"87","178.306","194.096","194.335"
"88","178.387","194.064","194.377"
"89","178.468","194.029","194.423"
"90","178.548","193.993","194.47"
"91","178.629","193.957","194.519"
"92","178.71","193.922","194.568"
"93","178.79","193.887","194.617"
"94","178.871","193.844","194.664"
"95","178.952","193.821","194.716"
"96","179.032","193.79","194.766"
"97","179.113","193.761","194.816"
"98","179.194","193.733","194.866"
"99","179.274","193.707","194.916"
"100","179.355","193.683","194.967"
"101","179.435","193.662","195.017"
"102","179.516","193.643","195.067"
"103","179.597","193.627","195.117"
"104","179.677","193.613","195.168"
"105","179.758","193.602","195.218"
"106","179.839","193.594","195.268"
"107","179.919","193.59","195.318"
"108","177.75","193.944","194.436"
"109","177.774","193.959","194.423"
"110","177.798","193.973","194.41"
"111","177.847","194.001","194.386"
"112","177.871","194.015","194.374"
"113","177.895","194.028","194.362"
"114","177.919","194.042","194.351"
"115","177.944","194.054","194.34"
"116","177.968","194.067","194.33"
"117","177.992","194.079","194.32"
"118","178.016","194.09","194.311"
"119","178.04","194.101","194.302"
"120","178.089","194.118","194.29"
"121","178.113","194.123","194.287"
"122","178.137","194.127","194.286"
"123","178.161","194.128","194.287"
"124","178.185","194.127","194.291"
"125","178.21","194.124","194.296"
"126","178.234","194.119","194.304"
"127","178.258","194.112","194.313"
"128","178.282","194.104","194.324"
"129","178.331","194.087","194.347"
"130","178.355","194.077","194.36"
"131","178.379","194.067","194.373"
"132","178.403","194.057","194.386"
"133","178.427","194.046","194.4"
"134","178.452","194.036","194.414"
"135","178.476","194.025","194.428"
"136","175.069","192.279","196.027"
"137","175.139","192.323","195.984"
"138","175.208","192.366","195.941"
"139","175.278","192.41","195.898"
"140","175.347","192.453","195.855"
"141","175.417","192.496","195.812"
"142","175.486","192.54","195.77"
"143","175.625","192.626","195.684"
"144","175.694","192.67","195.642"
"145","175.764","192.713","195.599"
"146","175.833","192.756","195.557"
"147","175.903","192.8","195.514"
"148","175.972","192.843","195.472"
"149","176.042","192.886","195.43"
"150","176.181","192.973","195.346"
"151","176.25","193.016","195.304"
"152","176.319","193.06","195.262"
"153","176.389","193.103","195.22"
"154","176.458","193.146","195.178"
"155","176.528","193.19","195.137"
"156","176.597","193.233","195.095"
"157","176.736","193.319","195.012"
"158","176.806","193.363","194.971"
"159","176.875","193.406","194.93"
"160","176.944","193.449","194.89"
"161","177.014","193.492","194.849"
"162","177.083","193.535","194.809"
"163","177.153","193.578","194.768"
"164","177.292","193.664","194.689"
"165","177.361","193.707","194.649"
"166","177.431","193.75","194.61"
"167","177.569","193.835","194.533"
"168","177.639","193.877","194.495"
"169","177.708","193.919","194.457"
"170","177.847","194.001","194.386"
"171","177.917","194.04","194.352"
"172","177.986","194.076","194.322"
"173","178.056","194.107","194.298"
"174","178.125","194.125","194.286"
"175","178.194","194.126","194.292"
"176","178.264","194.11","194.316"
"177","178.403","194.057","194.386"
"178","178.472","194.027","194.426"
"179","178.542","193.996","194.466"
"180","178.611","193.965","194.508"
"181","178.681","193.934","194.55"
"182","178.75","193.904","194.592"
"183","178.819","193.875","194.635"
"184","178.958","193.818","194.72"
"185","179.028","193.792","194.763"
"186","179.097","193.766","194.806"
"187","179.167","193.742","194.85"
"188","179.236","193.719","194.893"
"189","179.306","193.698","194.936"
"190","179.375","193.678","194.979"
"191","179.514","193.643","195.066"
"192","179.583","193.629","195.109"
"193","179.653","193.617","195.152"
"194","179.722","193.606","195.195"
"195","179.792","193.598","195.239"
"196","179.861","193.593","195.282"
"197","179.931","193.589","195.325"
"0","","193.589","195.325"
