" 3D Run ID","Phase_Z","1D Results\Mode Frequencies\Mode 1"
"1","178","193.799"
"2","178.045","193.828"
"3","178.091","193.856"
"4","178.136","193.885"
"5","178.182","193.913"
"6","178.227","193.942"
"7","178.273","193.97"
"8","178.318","193.999"
"9","178.364","194.027"
"10","178.409","194.056"
"11","178.455","194.084"
"12","178.5","194.113"
"13","175","191.919"
"14","175.161","192.02"
"15","175.323","192.121"
"16","175.484","192.222"
"17","175.645","192.323"
"18","175.806","192.424"
"19","175.968","192.525"
"20","176.129","192.626"
"21","176.29","192.727"
"22","176.452","192.829"
"23","176.613","192.93"
"24","176.774","193.031"
"25","176.935","193.132"
"26","177.097","193.233"
"27","177.258","193.334"
"28","177.419","193.435"
"29","177.581","193.536"
"30","177.742","193.637"
"31","177.903","193.738"
"32","178.065","193.84"
"33","178.226","193.941"
"34","178.387","194.042"
"35","178.548","194.143"
"36","178.71","194.244"
"37","178.871","194.345"
"38","179.032","194.447"
"39","179.194","194.548"
"40","179.355","194.649"
"41","179.516","194.75"
"42","179.677","194.851"
"43","179.839","194.953"
"44","180","195.054"
"45","176","192.546"
"46","176.258","192.707"
"47","176.387","192.788"
"48","176.516","192.869"
"49","176.645","192.95"
"50","176.903","193.112"
"51","177.032","193.192"
"52","177.161","193.273"
"53","177.29","193.354"
"54","177.548","193.516"
"55","177.677","193.597"
"56","177.806","193.678"
"57","177.935","193.759"
"58","178.194","193.92"
"59","178.323","194.001"
"60","178.452","194.082"
"61","178.581","194.163"
"62","178.839","194.325"
"63","178.968","194.406"
"64","179.097","194.487"
"65","179.226","194.568"
"66","179.484","194.73"
"67","179.613","194.811"
"68","179.742","194.892"
"69","179.871","194.973"
"70","175.116","191.992"
"71","175.233","192.065"
"72","175.349","192.138"
"73","175.465","192.211"
"74","175.581","192.283"
"75","175.698","192.356"
"76","175.814","192.429"
"77","175.93","192.502"
"78","176.047","192.575"
"79","176.163","192.648"
"80","176.279","192.72"
"81","176.395","192.793"
"82","176.512","192.866"
"83","176.628","192.939"
"84","176.744","193.012"
"85","176.86","193.085"
"86","176.977","193.158"
"87","177.093","193.231"
"88","177.209","193.303"
"89","177.326","193.376"
"90","177.442","193.449"
"91","177.558","193.522"
"92","177.674","193.595"
"93","177.791","193.668"
"94","177.907","193.741"
"95","178.023","193.814"
"96","178.14","193.887"
"97","178.256","193.96"
"98","178.372","194.032"
"99","178.488","194.105"
"100","178.605","194.178"
"101","178.721","194.251"
"102","178.837","194.324"
"103","178.953","194.397"
"104","179.07","194.47"
"105","179.186","194.543"
"106","179.302","194.616"
"107","179.419","194.689"
"108","179.535","194.762"
"109","179.651","194.835"
"110","179.767","194.908"
"111","179.884","194.981"
"112","175.077","191.967"
"113","175.154","192.016"
"114","175.231","192.064"
"115","175.308","192.112"
"116","175.385","192.16"
"117","175.462","192.208"
"118","175.538","192.256"
"119","175.615","192.305"
"120","175.692","192.353"
"121","175.769","192.401"
"122","175.846","192.449"
"123","175.923","192.497"
"124","176.077","192.594"
"125","176.154","192.642"
"126","176.231","192.69"
"127","176.308","192.738"
"128","176.385","192.787"
"129","176.462","192.835"
"130","176.538","192.883"
"131","176.615","192.931"
"132","176.692","192.979"
"133","176.769","193.028"
"134","176.846","193.076"
"135","176.923","193.124"
"136","177","193.172"
"137","177.077","193.22"
"138","177.154","193.269"
"139","177.231","193.317"
"140","177.308","193.365"
"141","177.385","193.413"
"142","177.462","193.462"
"143","177.538","193.51"
"144","177.615","193.558"
"145","177.692","193.606"
"146","177.769","193.654"
"147","177.846","193.703"
"148","177.923","193.751"
"149","178.077","193.847"
"150","178.154","193.896"
"151","178.231","193.944"
"152","178.308","193.992"
"153","178.385","194.04"
"154","178.462","194.089"
"155","178.538","194.137"
"156","178.615","194.185"
"157","178.692","194.233"
"158","178.769","194.282"
"159","178.846","194.33"
"160","178.923","194.378"
"161","179","194.426"
"162","179.077","194.475"
"163","179.154","194.523"
"164","179.231","194.571"
"165","179.308","194.619"
"166","179.385","194.668"
"167","179.462","194.716"
"168","179.538","194.764"
"169","179.615","194.812"
"170","179.692","194.861"
"171","179.769","194.909"
"172","179.846","194.957"
"173","179.923","195.006"
"0","","195.006"
