" 3D Run ID","Phase_Z","1D Results\Mode Frequencies\Mode 1","1D Results\Mode Frequencies\Mode 2","1D Results\Mode Frequencies\Mode 3","1D Results\Mode Frequencies\Mode 4"
"1","150","165.604","190.367","194.026","197.214"
"2","150.5","165.91","190.703","194.274","197.56"
"3","151","166.215","191.039","194.511","197.903"
"4","151.5","166.52","191.371","194.734","198.236"
"5","152","166.824","191.702","194.941","198.525"
"6","152.5","167.128","192.031","195.127","198.667"
"7","153","167.431","192.357","195.291","198.748"
"8","153.5","167.733","192.68","195.429","198.829"
"9","154","168.035","193.001","195.54","198.924"
"10","154.5","168.337","193.318","195.621","199.037"
"11","155","168.638","193.629","195.674","199.169"
"12","155.5","168.938","193.934","195.702","199.322"
"13","156","169.238","194.226","195.71","199.493"
"14","156.5","169.537","194.498","195.71","199.683"
"15","157","169.835","194.73","195.724","199.887"
"16","157.5","170.133","194.887","195.789","200.104"
"17","158","170.43","194.941","195.938","200.332"
"18","158.5","170.726","194.906","196.157","200.569"
"19","159","171.022","194.815","196.417","200.814"
"20","159.5","171.317","194.691","196.696","201.064"
"21","160","171.611","194.545","196.985","201.32"
"22","150.909","166.16","190.978","194.469","197.841"
"23","151.818","166.714","191.582","194.868","198.432"
"24","152.727","167.266","192.18","195.205","198.705"
"25","153.636","167.816","192.768","195.462","198.853"
"26","154.545","168.364","193.346","195.627","199.048"
"27","155.455","168.911","193.906","195.7","199.307"
"28","156.364","169.455","194.427","195.71","199.629"
"29","157.273","169.998","194.827","195.751","200.004"
"30","158.182","170.538","194.937","196.011","200.418"
"31","159.091","171.075","194.795","196.466","200.859"
"32","150.323","165.801","190.584","194.187","197.438"
"33","150.645","165.999","190.801","194.344","197.66"
"34","150.968","166.196","191.017","194.496","197.881"
"35","151.29","166.392","191.232","194.643","198.099"
"36","151.613","166.589","191.446","194.783","198.309"
"37","151.935","166.785","191.659","194.915","198.494"
"38","152.258","166.981","191.872","195.039","198.615"
"39","152.581","167.177","192.084","195.155","198.681"
"40","152.903","167.373","192.294","195.262","198.733"
"41","153.226","167.568","192.504","195.357","198.783"
"42","153.548","167.763","192.711","195.441","198.837"
"43","153.871","167.958","192.918","195.514","198.898"
"44","154.194","168.152","193.124","195.575","198.965"
"45","154.516","168.347","193.328","195.623","199.04"
"46","154.839","168.541","193.529","195.66","199.124"
"47","155.161","168.735","193.728","195.686","199.216"
"48","155.484","168.928","193.924","195.701","199.316"
"49","155.806","169.122","194.115","195.709","199.425"
"50","156.129","169.315","194.299","195.71","199.541"
"51","156.452","169.508","194.473","195.71","199.664"
"52","156.774","169.7","194.632","195.714","199.793"
"53","157.097","169.893","194.767","195.731","199.928"
"54","157.419","170.085","194.868","195.774","200.068"
"55","157.742","170.277","194.926","195.851","200.213"
"56","158.065","170.468","194.941","195.963","200.362"
"57","158.387","170.659","194.92","196.103","200.515"
"58","158.71","170.85","194.873","196.263","200.671"
"59","159.032","171.041","194.808","196.434","200.83"
"60","159.355","171.231","194.73","196.614","200.991"
"61","159.677","171.421","194.641","196.797","201.154"
"62","154.161","168.133","193.103","195.569","198.958"
"63","154.323","168.23","193.206","195.596","198.994"
"64","154.484","168.327","193.307","195.619","199.033"
"65","154.645","168.424","193.409","195.639","199.073"
"66","154.806","168.521","193.509","195.657","199.115"
"67","154.968","168.618","193.609","195.672","199.16"
